designation	obsid	ra	dec	snrg	subclass	teff	teff_err	feh_err	feh	logg_err	logg	spectral_type	quality
J072431.53-050714.9	939702155	111.1314069	-5.12082	65.73	A1	8860.35	46.06	0.039	0.373	0.065	3.692	A1 IV-V  SrSi	good
J072551.05-051713.7	1097501221	111.462724	-5.287155	65.78	A1	10221.8	65.65	0.056	0.541	0.093	3.514	B9 V  Si	vgood
J072607.20+332559.5	129808084	111.53001	33.433195	52.74	A1	9458.71	52.02	0.045	0.228	0.074	3.557	kB7hB9mA0  Si	
J072617.40+072209.8	769413208	111.57254	7.3694031	53	A5	7571.82	52.82	0.046	-0.294	0.075	4.01	kA2hF0mA6	
J072833.25+561753.5	327009066	112.1385711	56.2982061	117.87	A7	8850.93	33.41	0.026	0.471	0.046	4.429	A6 III-IV  SrSiEu	vgood
J072930.65+105323.5	379211135	112.3777397	10.8898669	258.06	A5	9266.83	30.8	0.017	0.511	0.038	4.087	A1 IV  SrSi	vgood
J073051.18-004609.9	436212233	112.713262	-0.769433	94.99	A1	9134.23	80.11	0.065	0.905	0.111	4.123	A0 IV-V  SrSiEu	good
J073127.88+021937.3	600415019	112.8661889	2.3270463	74.86	A6	8828.9	80.75	0.068	0.75	0.114	3.824	A7 V  SrSiEu	good
J073225.05+084143.7	129407225	113.10439	8.6954835	55.58	A5							kA2hA4mA7  SiEu	
J073618.48+424457.5	1204001032	114.0772279	42.75026163	127.74	A1	12043.4	30.95	0.024	0.802	0.042	3.877	B8 IV  Si	vgood
J074006.58+011403.2	600513059	115.027444	1.234234	68.35	F0	7261.62	63.15	0.053	0.23	0.089	3.858	kA4hA9mF0	
J074022.75+562116.5	223616195	115.0948	56.354584	66.81	F0	6964.64	58.22	0.049	-0.11	0.082	3.93	kA3hA7mF0  SiEu	
J074022.75+562116.4	380105171	115.0948019	56.3545739	249.26	F0	6960.53	45.81	0.026	0.006	0.056	3.943	F3 V Sr	vgood
J074858.51-024444.2	275407069	117.243816	-2.745631	77.64	A7	8766.76	42.53	0.036	0.308	0.06	3.964	A7 Vn	vgood
J075008.75+324413.8	208307177	117.53648	32.737176	268.72	A7	7321.39	35	0.019	-0.397	0.043	4.014	kA3hA5mA7  SiEu	
J075228.52+151410.2	864109023	118.1188375	15.2361917	60.71	A5							kA0hA3mA9  SiEu	
J075341.13+012524.8	263901101	118.421402	1.423568	64.4	A5	8909.05	32.08	0.027	0.559	0.045	4.29	kA3hA6mA8  Eu	
J075601.68+223633.4	190414035	119.00702	22.609304	50.05	A5	9737.37	66.01	0.057	0.897	0.094	4.278	A1 III-IV  SrSiEu	good
J075856.08+000845.6	1069116102	119.733685	0.14601	54.64	A5	9139.91	52.37	0.045	0.679	0.075	3.899	A2 IV-V  SrSiEu	good
J080739.57+274956.5	602711159	121.9149131	27.8323722	79.61	F0							kA6hA8mF0  SiEu	
J080812.63+271702.8	602711096	122.0526356	27.2841353	146.23	A5	7377.65	143.84	0.106	-0.187	0.191	3.879	kA3hA5mA7  SiEu	
J080818.28-033208.6	181004130	122.07617	-3.5357297	144.25	F0							A1 III-IV  SrSiEu	good
J081222.37-070001.9	93604117	123.09321	-7.0005406	52.38	F0	7287.12	55.48	0.048	0.183	0.079	3.915	kA3hA9mA8  SrEu	
J081800.60+081048.9	215607082	124.50254	8.1802501	68.66	A7	9148.19	73.43	0.062	0.876	0.104	4.375	kA3hA7mA9  SiEu	
J081925.98+134249.8	19512062	124.8582625	13.7138389	83.86	F0	7502.22	219.32	0.182	0.485	0.307	3.675	kA3hA5mA8  SiEu	
J082051.69+023315.8	336503051	125.2153792	2.5543917	229.49	A5	7262.66	99.74	0.059	-0.291	0.123	3.981	kA2hA9mA9  SiEu	
J082539.06+014831.5	796105158	126.4127667	1.80875	131.68	F0	7490.29	131.41	0.1	-0.012	0.177	3.759	kA3hA6mA8  SiEu	
J083720.96+512431.2	278112187	129.337374	51.408694	72.98	F0	7376.16	96.06	0.081	0.152	0.135	3.935	kA4hA9mF0  SiEu	
J083804.76+101114.7	1085607089	129.5198523	10.1874205	147.58	A5	7352.14	139.67	0.102	-0.207	0.186	4.121	kA1hA4mA8  SiEu	
J084444.62+100440.3	420801032	131.185922	10.077881	85.92	A2							kB9hA3mA9  Si	
J084530.73+622859.0	1224102108	131.3780687	62.4830773	417.08	A1							B8 IV  Si	vgood
J092000.57+181856.3	200913224	140.00238	18.315662	218.92	A5	7111.48	70.2	0.042	-0.306	0.088	3.834	kA0hA3mA7  Eu	
J103344.82+024724.3	230012100	158.436563	2.790074	168.75	F0	7160.48	66.52	0.046	-0.129	0.087	4.064	kA3hA6mA8  SiEu	
J104851.80+144222.9	1109215097	162.2158542	14.7063639	88.67	A5	9015.62	79.36	0.065	0.922	0.111	3.746	A1 IV-V  SrSi	good
J105434.62+643358.7	1170308118	163.6442692	64.5663217	495.82	A6							A1 IV-V  SrSiEu	good
J160410.81+062705.4	999615094	241.0450427	6.4515268	124.56	A5	7443.69	58.75	0.045	-0.442	0.08	4.041	kA2hA3mA7  Eu	
J164755.42-054354.7	554205083	251.9809363	-5.7318789	132.37	A7	8751.96	80.68	0.061	0.878	0.109	4.284	kA4hA6mA8  SiEu	
J170817.19+301029.3	902009161	257.070088	30.174824	110.08	A1	9854.26	63.91	0.051	0.657	0.088	3.509	kB7hB9mA0  Si	
J180536.48+051451.9	347805097	271.40201	5.247762	95.39	F0	7638.26	101.79	0.083	0.386	0.141	3.82	A9 mA3 metal weak	
J184446.46+062733.0	573504197	281.193616	6.459193	101.51	F0							F0 V  SrSi	good
J190243.98+342300.8	574208071	285.683274	34.3835686	155.45	A2	12166.3	21.76	0.016	0.477	0.029	4.086	B7 V  Si	vgood
J190309.65+184417.7	911404082	285.7902125	18.7382528	365.37	F0							kA3hA8mF0	
J190812.85+482935.3	1016804088	287.053558	48.49315	74.01	A1	11885.9	41.29	0.035	0.725	0.058	3.844	B9 III-IV  Si	fair
J192507.26+393724.1	580504203	291.280267	39.623381	50.06	A5	9188.85	62.61	0.054	0.726	0.09	4.037	A7 V  SrSi	good
J193723.39+382013.3	373101095	294.34747	38.33704	100.68	F0	7668.23	55.27	0.045	0.116	0.076	4.044	kA4hA7mF0  SiEu	
J194456.13+393336.3	367702019	296.23389	39.560089	50.45	A5	9316.96	55.6	0.048	0.633	0.08	3.74	A4 V  SrSiEu	vgood
J194502.63+135357.2	575303139	296.260983	13.899225	60.51	A7	9196.35	74.17	0.063	0.675	0.105	3.928	F0 V  SrSiEu	good
J194522.53+365548.8	1138713083	296.3439031	36.9302332	761.84	A1	12358.1	10.87	0.006	0.689	0.013	3.976	Unclassifiable	
J194643.15+274849.4	911203234	296.679792	27.813737	137.32	A1	12674.4	47.19	0.035	0.931	0.063	3.967	B9 II-III  Si	vgood
J194918.84+293136.9	911215167	297.328508	29.526922	107.56	A1							A0 IV  Si	vgood
J195111.98+420626.4	162204213	297.799917	42.107361	72.01	A5	8888.97	47.02	0.04	0.078	0.066	3.737	A1 IV-V  SrSi	vgood
J195223.44+384954.1	1246314059	298.0977051	38.8317149	492.79	A1							B9.5 IV-V  Si	good
J195229.82+363125.1	1246302014	298.1242833	36.5236643	152.27	A1							B9 V  Si	vgood
J195655.55+380021.2	1016206228	299.23148	38.005891	65.31	A1	10549.3	68.38	0.058	0.817	0.097	3.609	B9 IV-V  Si	good
J195743.48+394832.2	1016212157	299.43118	39.808948	79.78	A2							A0 V  SrSi	good
J195921.71+352046.3	469801152	299.8404931	35.3462203	58.88	A2	11003.4	74.93	0.064	0.911	0.107	3.7	B9 III-IV  Si	good
J200222.61+373328.3	1246304026	300.5942087	37.5578885	148.88	A2							A0 II  SrSiEu	vgood
J200227.63+161946.4	1046711065	300.615147	16.329582	142.4	A1	11812.1	33.08	0.024	0.864	0.044	3.819	B8 V  Si	vgood
J200318.93+355003.1	1246301034	300.8288762	35.8342071	635.96	A1							B8 IV  Si	vgood
J200437.35+371341.0	1246308154	301.1556631	37.2280613	999	A1							B8 IV  Si	vgood
J200517.28+350621.5	469807240	301.322041	35.105988	107.95	A1							Unclassifiable	
J200553.74+362630.2	1246308219	301.4739444	36.4417337	160.29	A1							kB9hA0mA2  Si	
J200600.39+361136.9	469806237	301.5016531	36.1936097	156.59	F0							F0 V  SrEu	good
J200720.53+395526.8	1246311147	301.8355719	39.924126	401.48	A1							kA0hA1mA2  Si	
J200741.87+392904.0	1246312058	301.9244761	39.4844655	675.69	A2							A0 IV  Si	vgood
J200801.69+382358.1	1246309048	302.0070424	38.3994772	298.42	A1							A0 II  Si	good
J201039.63+365652.4	1246306012	302.6651309	36.9478989	255.57	A2							B8 IV  Si	vgood
J201146.53+365412.5	1246306188	302.943905	36.9034771	213.51	A1							Unclassifiable	
J201240.94+364250.0	1246306120	303.1705903	36.7138993	234.86	A1							B8 IV  Si	vgood
J201251.22+240948.9	577012249	303.2134203	24.163596	124.38	A3	12030.6	35.62	0.027	0.897	0.048	4.143	K5 ?	poor
J202313.35+321805.7	1143210107	305.8056519	32.3016056	511.04	A1	12677.9	15.04	0.008	0.859	0.019	4.05	B8 IV  Si	vgood
J202313.41+324721.4	1143210093	305.8059088	32.7892912	320.38	A1							B9.5 III-IV  Si	good
J202332.28+315931.9	1143202062	305.8845153	31.9922152	132.28	A1	12228.2	30.36	0.023	0.825	0.041	3.954	B8 IV  Si	vgood
J202457.98+325051.4	1143203153	306.2416048	32.8476212	100.55	A1	9838.84	50.83	0.041	0.115	0.07	3.52	A0 IV-V  Si	vgood
J202944.73+322525.7	1143205245	307.4364073	32.4238261	115.97	A1	11706.9	54.71	0.043	0.842	0.075	3.614	B8 III-IV  Si	good
J203044.52+330328.8	1143204138	307.6855121	33.0580145	94.99	A1	12160.9	33.76	0.027	0.604	0.047	4.059	B8 V  Si	good
J203552.41+374131.4	248106012	308.968416	37.692075	77.04	A2	10522.6	30.3	0.025	0.403	0.043	3.65	B9 IV  Si	vgood
J203659.02+343118.9	1143212076	309.2459347	34.5219437	146.68	A1							Unclassifiable	
J204152.00+494057.4	361813093	310.4666922	49.6826372	81.93	A5	9361.18	61.84	0.051	0.796	0.087	4.3	A0 IV-V  SrSiEu	good
J204641.44+300205.0	475203114	311.672699	30.034732	127.86	A1	9960.32	142.62	0.109	0.735	0.193	3.515	B9 V  Si	good
