DESIG,OBSID,RA,DEC,SN/g,SUBCLASS
LAMOST J061331.78+245240.5,485111052,93.382431,24.877917,146.07,A
LAMOST J060327.27+240215.2,486314122,90.863658,24.037581,77.79,M
LAMOST J062222.61+263426.4,1902092,95.594225,26.574013,53.48,F
LAMOST J042155.73+414944.5,413808231,65.482226,41.829039,82.18,M
LAMOST J064135.23-054610.7,696602042,100.396801,-5.76964,116.75,Ap
LAMOST J071840.52+161932.1,844102056,109.669864,16.325029,349.87,Ap
LAMOST J062439.55+285127.4,903101,96.164805,28.857627,68.33,F
LAMOST J005631.62+341542.6,14606249,14.131755,34.261851,57.7,G
LAMOST J054759.78+183632.7,547501177,86.999097,18.609093,176.96,Ap
LAMOST J002707.67+715437.8,855015003,6.781987,71.910514,61.13,Ap
LAMOST J234906.06+272707.8,1305004,357.275254,27.452192,52.03,F
LAMOST J132556.66+292350.9,48702180,201.486096,29.397497,51.88,K
LAMOST J052635.96+440433.7,243510017,81.649873,44.076045,53.73,A
LAMOST J110436.14+280125.6,14205115,166.150598,28.023802,88.89,G
LAMOST J094440.70+321903.9,14011215,146.169594,32.317776,74.26,G
LAMOST J061136.08+242047.7,485115019,92.900365,24.34659,143.82,A
LAMOST J001136.05+185438.6,54912104,2.90022,18.91073,328.07,K
LAMOST J230342.92+592156.5,275011116,345.92885,59.365698,111.82,B
LAMOST J004517.18+354732.0,15815061,11.321591,35.792232,59.36,G
LAMOST J101534.37+254823.5,11408202,153.89324,25.806553,95.48,G
LAMOST J045549.35+441524.7,309105173,73.954625,44.256877,351.96,B
LAMOST J032513.70+161227.0,406613103,51.307116,16.207511,51.61,M
LAMOST J090510.30+503101.7,49115186,136.29292,50.517151,118.14,K
LAMOST J100130.10+275512.4,50407044,150.373639,27.920124,97.43,K
LAMOST J120924.68+281901.3,422605161,182.352873,28.31703,92.39,M
LAMOST J223625.69+291939.2,1202245,339.107051,29.327576,74.48,F
LAMOST J003606.56+274835.0,55603069,9.027353,27.809749,60.41,K
LAMOST J062925.29+243714.8,409906112,97.355415,24.620798,59.62,Ap
LAMOST J052652.49+453612.9,307306084,81.717389,45.603603,404.98,B
LAMOST J080600.14+134133.2,18201145,121.50062,13.692558,62.75,G
LAMOST J150031.28+384413.3,457912247,225.130366,38.737033,55.1,M
LAMOST J220908.75+300827.0,604132,332.286461,30.140856,52.9,F
LAMOST J102936.00+314125.2,14113171,157.4,31.690338,51.62,G
LAMOST J091020.93+264047.6,15910069,137.587219,26.679901,55.06,G
LAMOST J183513.29+342716.0,343315061,278.805414,34.454451,51.01,B
LAMOST J080734.51+271124.3,2001074,121.8938,27.190098,55.48,F
LAMOST J004809.70+590620.8,469316139,12.040446,59.105779,340.27,A
LAMOST J103154.75+291514.5,14107150,157.978161,29.254051,63.74,G
