obsid,designation,snrg,class,subclass,gaia_source_id,ra,dec,teff,teff_err,feh_err,feh,logg_err,logg,spectral_type,quality,Teff,Feh,Logg
1185906013,J050854.46+305203.5,67.91,STAR,A1,156470606396286464,77.2269307,30.8676633,11947.2,56.75,0.048,0.779,0.08,3.748,B8 IV  Si,good,11947.2¡À56.75,0.779¡À0.048,3.748¡À0.08
1171212230,J061549.93+094829.4,86.55,STAR,A1,3329070490194780160,93.9580821,9.8081791,11947.6,41.31,0.034,0.852,0.058,3.945,B9 III  Si,good,11947.6¡À41.31,0.852¡À0.034,3.945¡À0.058
1209002124,J062654.34+065541.0,62.54,STAR,A2,3324536684060409728,96.7264505,6.9280631,11948.8,35.2,0.03,0.899,0.05,4.089,B9.5 II-III  Si,good,11948.8¡À35.2,0.899¡À0.03,4.089¡À0.05
679513219,J061707.63+150129.6,335.31,STAR,A1,3344941665662880512,94.2818152,15.02489,11958.9,23.08,0.013,0.912,0.028,3.974,kB7hF3mF5  Eu,,11958.9¡À23.08,0.912¡À0.013,3.974¡À0.028
116312121,J060504.84+254755.7,193.09,STAR,A2,3426673548977610752,91.270202,25.798809,11962.5,12.71,0.008,0.368,0.016,4.047,B8 IV-V,vgood,11962.5¡À12.71,0.368¡À0.008,4.047¡À0.016
1086016137,J060307.67+253100.4,89.2,STAR,A1,3429636187358944128,90.781989,25.516799,11966.5,38.74,0.032,0.83,0.054,3.973,B8 V  Si,vgood,11966.5¡À38.74,0.83¡À0.032,3.973¡À0.054
218403007,J062639.57+193824.5,53.61,STAR,A1,3372418461241975936,96.664914,19.640152,11982,60.2,0.052,0.766,0.086,3.641,B9.5 II-III  Si,good,11982¡À60.2,0.766¡À0.052,3.641¡À0.086
1173609127,J043813.10+463118.9,52.13,STAR,A3,254220458580642432,69.5546137,46.5219278,11983.9,33.26,0.029,0.791,0.048,3.932,B9.5 II-III  Si,good,11983.9¡À33.26,0.791¡À0.029,3.932¡À0.048
431602231,J062332.67+185359.1,74.69,STAR,A1,3370860693783912960,95.8861458,18.899755,11985.1,37.9,0.032,0.812,0.053,3.7,B8 V  Si,vgood,11985.1¡À37.9,0.812¡À0.032,3.7¡À0.053
989015169,J070639.20-030053.1,157,STAR,A1,3107990072293012992,106.6633647,-3.0147744,11997.1,37.44,0.027,0.833,0.049,4.195,kB9hA1mA2  Si,,11997.1¡À37.44,0.833¡À0.027,4.195¡À0.049
1146803192,J034306.26+602749.2,129.35,STAR,A1,474335333478715392,55.7761205,60.4636798,11998,33.7,0.026,0.909,0.046,4.302,B9 II-III  Si,vgood,11998¡À33.7,0.909¡À0.026,4.302¡À0.046
255007024,J052804.18+344503.4,95.88,STAR,A1,182855831744729088,82.0174267,34.7509531,11999.2,25.65,0.021,0.505,0.036,4.229,B7 V  Si,good,11999.2¡À25.65,0.505¡À0.021,4.229¡À0.036
1171115079,J021006.35+560059.6,89.13,STAR,A1,456895086200471040,32.5264715,56.0165592,12000.9,34.89,0.029,0.82,0.049,3.843,A5 mA0 metal weak,,12000.9¡À34.89,0.82¡À0.029,3.843¡À0.049
1145707138,J052840.37+342432.2,98.77,STAR,A2,182647749170089472,82.1682306,34.4089688,12001.1,48.79,0.039,0.999,0.068,3.961,A0 II  SrSiEu,vgood,12001.1¡À48.79,0.999¡À0.039,3.961¡À0.068
1205906031,J050912.96+314823.7,100.64,STAR,A5,181297411449626112,77.304003,31.8065959,12011.9,70.15,0.057,0.927,0.097,4.108,A1 II  SrSiEu,good,12011.9¡À70.15,0.927¡À0.057,4.108¡À0.097
1173610009,J041740.63+460212.9,83.13,STAR,A1,233023695462640000,64.4193161,46.0369407,12018.7,37.16,0.031,0.798,0.052,3.9,B9 III  Si,vgood,12018.7¡À37.16,0.798¡À0.031,3.9¡À0.052
1209008166,J063414.95+080001.0,52.37,STAR,A1,3326023880912304896,98.5623208,8.0002932,12018.9,45.07,0.039,0.959,0.064,3.636,Unclassifiable,,12018.9¡À45.07,0.959¡À0.039,3.636¡À0.064
731504157,J063013.31+165729.2,97.18,STAR,A1,3369480493153603840,97.5554986,16.9581208,12020.8,23.32,0.019,0.63,0.032,4.479,kB9hF4mK2,,12020.8¡À23.32,0.63¡À0.019,4.479¡À0.032
194907200,J054837.36+211558.1,73.41,STAR,A2,3400110314421154432,87.15568,21.266148,12023.3,41.09,0.035,0.767,0.058,4.022,B9 II-III  Si,vgood,12023.3¡À41.09,0.767¡À0.035,4.022¡À0.058
1189606155,J053408.51+353426.9,111,STAR,A3,183179259962398464,83.5354726,35.5741563,12025.6,27.48,0.022,0.694,0.038,4.118,B9 III  Si,good,12025.6¡À27.48,0.694¡À0.022,4.118¡À0.038
977404133,J031748.89+384218.9,565.35,STAR,A1,235545528457272960,49.4537497,38.7052695,12030.2,9.21,0.005,0.538,0.011,3.815,B9 IV  Si,good,12030.2¡À9.21,0.538¡À0.005,3.815¡À0.011
577012249,J201251.22+240948.9,124.38,STAR,A3,1833677639268433536,303.2134203,24.163596,12030.6,35.62,0.027,0.897,0.048,4.143,K5 ?,poor,12030.6¡À35.62,0.897¡À0.027,4.143¡À0.048
1146703017,J235249.42+613310.1,83.17,STAR,A1,2012695552651713664,358.2059321,61.5528159,12039.7,43.21,0.036,0.901,0.061,3.925,B9 III  Si,vgood,12039.7¡À43.21,0.901¡À0.036,3.925¡À0.061
1171103043,J020736.71+550008.6,131.66,STAR,A1,456465280230926464,31.9029997,55.0024015,12039,53.4,0.04,0.837,0.072,3.862,B9 III,vgood,12039¡À53.4,0.837¡À0.04,3.862¡À0.072
1204001032,J073618.48+424457.5,127.74,STAR,A1,-9999,114.0772279,42.75026163,12043.4,30.95,0.024,0.802,0.042,3.877,B8 IV  Si,vgood,12043.4¡À30.95,0.802¡À0.024,3.877¡À0.042
1157715040,J021448.81+562211.0,62.34,STAR,A1,457012081109759616,33.703389,56.3697362,12048.3,53.54,0.046,0.743,0.076,4.022,B9 III  Si,good,12048.3¡À53.54,0.743¡À0.046,4.022¡À0.076
1173606018,J044010.41+451507.5,68.21,STAR,A1,253160735527325952,70.0433914,45.2520988,12053.8,38.15,0.032,0.821,0.054,3.797,B9 II-III  Si,vgood,12053.8¡À38.15,0.821¡À0.032,3.797¡À0.054
1148206187,J063935.53+013001.7,89.55,STAR,A1,3126638545412941568,99.8980615,1.5004892,12058.4,29.85,0.025,0.68,0.042,3.964,B7 V  Si,good,12058.4¡À29.85,0.68¡À0.025,3.964¡À0.042
645905101,J061302.83+221647.3,55.99,STAR,A2,3376982873307002752,93.261817,22.279814,12061.9,43.91,0.038,0.655,0.063,4.097,B8 IV  Si,good,12061.9¡À43.91,0.655¡À0.038,4.097¡À0.063
1146801135,J035110.76+580841.8,80.56,STAR,A1,472932872038749056,57.7948496,58.1449554,12062,32.02,0.027,0.781,0.045,3.945,Unclassifiable,,12062¡À32.02,0.781¡À0.027,3.945¡À0.045
275011058,J230336.82+584717.0,190.64,STAR,A1,2013283138533143040,345.903443,58.78807,12069.4,12.23,0.008,0.433,0.016,4.02,B8 IV-V  Si,vgood,12069.4¡À12.23,0.433¡À0.008,4.02¡À0.016
1209003143,J062946.52+091841.3,131.47,STAR,A1,3327198502929319680,97.4438588,9.3114905,12075.3,34.67,0.026,0.896,0.047,4.016,B9 II-III  Si,vgood,12075.3¡À34.67,0.896¡À0.026,4.016¡À0.047
105116066,J053528.73+331340.2,51.79,STAR,A1,3448893927355533952,83.869712,33.227855,12087.8,43.17,0.037,0.778,0.062,4.003,B8 IV  Si,vgood,12087.8¡À43.17,0.778¡À0.037,4.003¡À0.062
1186608115,J050818.62+454653.0,187.96,STAR,A1,205957322660980608,77.0776122,45.7814068,12089.9,27.39,0.018,0.825,0.035,4.118,B9.5 II-III  Si,vgood,12089.9¡À27.39,0.825¡À0.018,4.118¡À0.035
648616172,J061101.06+264328.3,58.1,STAR,A2,3427208667542754176,92.7544318,26.7245495,12100.9,39.36,0.034,0.986,0.056,3.89,B8 IV-V  Si,vgood,12100.9¡À39.36,0.986¡À0.034,3.89¡À0.056
1171816162,J051646.04+373358.6,66.29,STAR,A1,187169353299856128,79.1918437,37.5662799,12106.9,35.46,0.03,0.761,0.05,4.087,B9 III  Si,vgood,12106.9¡À35.46,0.761¡À0.03,4.087¡À0.05
1208115141,J051111.12+405559.1,88.43,STAR,A1,201021550543504896,77.7963636,40.9330938,12109,41.26,0.034,0.788,0.058,3.974,B8 IV  Si,vgood,12109¡À41.26,0.788¡À0.034,3.974¡À0.058
1207103222,J053033.85+314346.9,152.79,STAR,A1,3448654783579725696,82.6410543,31.7297028,12111.8,30.45,0.022,0.804,0.04,3.961,Unclassifiable,,12111.8¡À30.45,0.804¡À0.022,3.961¡À0.04
806314165,J054755.93+321919.0,102.68,STAR,A1,3445236500711048832,86.9830737,32.3219455,12118.3,25.11,0.02,0.583,0.035,4.017,B8 IV  Si,good,12118.3¡À25.11,0.583¡À0.02,4.017¡À0.035
30001040,J065332.44+044458.3,87.11,STAR,A2,3129051458038562304,103.38517,4.7495552,12129.8,41.01,0.034,0.905,0.057,3.875,B9.5 II-III  Si,vgood,12129.8¡À41.01,0.905¡À0.034,3.875¡À0.057
157915067,J034624.42+584710.8,251.91,STAR,A1,473192288064569600,56.601786,58.786341,12129,11.91,0.007,0.462,0.015,4.283,B8 V,vgood,12129¡À11.91,0.462¡À0.007,4.283¡À0.015
1160115165,J063821.86+051949.1,152.57,STAR,A1,3131070504985180032,99.5911198,5.3303232,12130.4,25.46,0.018,0.75,0.034,4.044,B9 III  Si,vgood,12130.4¡À25.46,0.75¡À0.018,4.044¡À0.034
1209016230,J062753.36+110015.5,63.75,STAR,A1,3330981166526994688,96.972369,11.004324,12132.3,33.74,0.029,0.699,0.048,4.044,B9.5 III  Si,vgood,12132.3¡À33.74,0.699¡À0.029,4.044¡À0.048
836605191,J022303.91+544453.9,185.06,STAR,A1,455864156609493504,35.766332,54.748331,12139.4,16.17,0.011,0.451,0.021,4.128,B7 V  Si,vgood,12139.4¡À16.17,0.451¡À0.011,4.128¡À0.021
1089604156,J053439.93+441955.9,70.76,STAR,A1,195827010935667456,83.666393,44.332207,12140.9,52.22,0.044,0.982,0.074,3.787,B8 IV,good,12140.9¡À52.22,0.982¡À0.044,3.787¡À0.074
294313087,J052930.68+410751.0,74.75,STAR,A2,194313769402166400,82.377854,41.130859,12142.6,28.02,0.024,0.761,0.039,3.987,B8 IV  Si,vgood,12142.6¡À28.02,0.761¡À0.024,3.987¡À0.039
